ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Pro,Sales Agents,Indirect,ACS Pre-Install, TX,Unkown,SPACEWAY3,Spaceway,Dealer-Generated Sale,Male,30,0,1,0,N,0,,,,,,
Active,Elite,Uknown,Indirect,TAG, CA,GOOD,Unkown,Broadband Remote,Dealer-Generated Sale,Male,34,4,0,0,N,0,,,,,,
Active,Elite,Sales Agents,Indirect,Best Buy, WA,Unkown,SM5-VER-5K,Broadband Remote,Dealer-Generated Sale,Male,48,9,1,1,N,0,,,,,,
Active,Elite,Call Center,Indirect,Perfect 10, AL,GOOD,AM6-HOR-21K,Broadband Remote,Retail       ,Male,36,2,0,Unkown,Y,0,,,,,,
Active,Unknown,Uknown,Indirect,InfoDish, CA,BAD,SM5-VER-7K,Broadband Remote,Direct,Male,23,6,0,0,Unknown,0,,,,,,
Active,Pro,Vars,Indirect,TAG, AZ,GOOD,SM5-VER-5K,Broadband Remote,DW7000 Upgrade,Male,40,6,2,0,N,0,,,,,,
Active,Elite,Uknown,Indirect,TAG, NY,BAD,SM5-VER-7K,Broadband Remote,DW6000 Upgrade,Male,26,3,1,0,N,0,,,,,,
Active,Pro,Uknown,Indirect,Perfect 10, WI,GOOD,HZN-VER-6K,Broadband Remote,DW6000 Upgrade,Female,28,0,1,1,Unknown,0,,,,,,
Active,Home,Call Center,Indirect,Hughes Internal Sales, TX,BAD,SM5-VER-5K,Broadband Remote,HN7000 Upgrade,Female,28,3,1,0,Unknown,0,,,,,,
Active,Proplus,Retail/others,Direct,ACS, CA,Unkown,HZN2-VER-4K,Broadband Remote,Direct,Male,57,6,1,1,N,0,,,,,,
Active,Proplus,Call Center,Direct,TAG, MD,Unkown,G17-HOR-6K,Broadband Remote,DW6000 Upgrade,Male,33,3,0,0,N,0,,,,,,
Active,Power150,Uknown,Direct,J & L AND SONS CUSTOM INSTALLATIONS INC, IN,BAD,HZN2-VER-5K,Broadband Remote,DW6000 Upgrade,Female,49,3,1,1,N,0,,,,,,
Active,Home,Vars,Indirect,Hughes Web Order, NJ,BAD,SM5-VER-5K,Broadband Remote,Dealer-Generated Sale,Male,44,0,2,0,N,0,,,,,,
Active,Proplus,Sales Agents,Indirect,Hughes Web Order, MI,BAD,SM6-VER-2K,Broadband Remote,DW7000 Upgrade,Male,27,0,1,1,N,0,,,,,,
Active,Basic_Ltd,Call Center,Direct,AmericanSat, CA,GOOD,SM5-HOR-6K,Spaceway,Dealer-Generated Sale,Male,22,4,0,0,N,0,,,,,,
Active,Proplus,Vars,Direct,NCC, TX,GOOD,SM5-HOR-14K,Broadband Remote,National Sales,Male,26,4,Unkown,1,N,0,,,,,,
Active,Unknown,Uknown,Indirect,ACS, CA,GOOD,SPACEWAY3,Broadband Remote,DPC Classic upgrade,Female,29,0,1,1,N,0,,,,,,
Active,Unknown,Retail/others,Indirect,InfoDish, CA,BAD,SM5-VER-7K,Broadband Remote,Dealer-Generated Sale,Male,62,6,0,0,N,0,,,,,,
Active,Basic,Sales Agents,Indirect,Perfect 10, CO,GOOD,Unkown,Spaceway,Direct,Male,31,0,2,1,Unknown,0,,,,,,
Active,Elite,Call Center,Indirect,TAG, ID,BAD,SM5-VER-1K,Broadband Remote,Retail       ,Male,63,0,1,0,Unknown,0,,,,,,
Active,Basic,Sales Agents,Indirect,Hughes Web Order, TX,BAD,G17-HOR-6K,Spaceway,Retail       ,Male,28,3,1,1,Unknown,0,,,,,,
Active,Basic_Ltd,Sales Agents,Direct,NCC, CA,GOOD,SM5-VER-7K,Broadband Remote,DPC Classic upgrade,Male,49,0,0,0,N,0,,,,,,
Active,Pro,Sales Agents,Indirect,PEGASUS BROADBAND COMMUNICATIO, IL,BAD,G17-HOR-6K,Broadband Remote,Dealer-Generated Sale,Female,25,6,0,0,Y,0,,,,,,
Active,Pro,Web orders,Indirect,Hughes Web Order, VA,BAD,G17-HOR-6K,Spaceway,DPC Classic upgrade,Female,30,3,1,1,N,0,,,,,,
Active,Basic,Uknown,Indirect,LiveBridge Communications LLC, WI,BAD,Unkown,Broadband Remote,HN9000 Upgrade,Female,26,5,1,0,N,0,,,,,,
Active,Pro,Sales Agents,Direct,Hughes Web Order, AR,BAD,SM5-VER-1K,Broadband Remote,HN7000 Upgrade,Female,61,5,1,1,N,0,,,,,,
Active,Basic_Ltd,Vars,Indirect,Hughes Web Order, AZ,BAD,G16-HOR-8K,Broadband Remote,DW7000 Upgrade,Female,44,0,1,0,Unknown,0,,,,,,
Active,Unknown,Uknown,Indirect,ACS, TX,GOOD,Unkown,Broadband Remote,HN7000 Upgrade,Female,46,0,1,0,N,0,,,,,,
Active,Elite,Vars,Indirect,Hughes Web Order, ID,BAD,SM5-VER-1K,Broadband Remote,Retail       ,Male,25,6,1,0,N,0,,,,,,
Active,Pro,Call Center,Indirect,InfoDish, OK,BAD,Unkown,Broadband Remote,HN9000 Upgrade,Female,43,0,1,0,N,0,,,,,,
Active,Proplus,Sales Agents,Direct,RS&I, OR,BAD,SPACEWAY3,Spaceway,Direct,Male,38,2,0,0,N,0,,,,,,
Active,Home,Uknown,Direct,Verisign Web Ordering, CO,BAD,G17-HOR-2K,Spaceway,DW6000 Upgrade,Female,40,5,1,0,N,0,,,,,,
Active,Basic,Call Center,Indirect,ValueElectronics, CO,GOOD,SM5-VER-1K,Broadband Remote,HN7000 Upgrade,Female,28,0,0,Unkown,Unknown,0,,,,,,
Active,Pro,Uknown,Indirect,NCC, AZ,Unkown,SPACEWAY3,Spaceway,DW6000 Upgrade,Female,64,5,1,0,N,0,,,,,,
Active,Basic,Retail/others,Indirect,ACS Pre-Install, MO,Unkown,HZN2-VER-4K,Broadband Remote,Direct,Female,52,0,2,0,N,0,,,,,,
Active,Home,Web orders,Indirect,Hughes Web Order, MI,BAD,SM5-HOR-6K,Spaceway,HN9000 Upgrade,Male,35,6,1,1,N,0,,,,,,
Active,Home,Web orders,Indirect,TAG, PA,BAD,SM5-VER-7K,Broadband Remote,Classic Migration,Male,65,0,1,0,Unknown,0,,,,,,
